Tipos de cambio (pesos por d—lar),,
,,
Periodo,1. D—lar observado,
26.Sep.2016,659.71,
27.Sep.2016,662.34,
28.Sep.2016,661.96,
29.Sep.2016,662.27,
30.Sep.2016,659.08,
01.Oct.2016,,
02.Oct.2016,,
03.Oct.2016,658.02,
04.Oct.2016,658.59,
05.Oct.2016,662.29,
06.Oct.2016,664.86,
07.Oct.2016,666.97,
08.Oct.2016,,
09.Oct.2016,,
10.Oct.2016,,
11.Oct.2016,667.93,
12.Oct.2016,667.47,
13.Oct.2016,667.19,
14.Oct.2016,670.88,
15.Oct.2016,,
16.Oct.2016,,
17.Oct.2016,670.37,
18.Oct.2016,670.61,
19.Oct.2016,668.47,
20.Oct.2016,667.41,
21.Oct.2016,666.74,
22.Oct.2016,,
23.Oct.2016,,
24.Oct.2016,667.09,
25.Oct.2016,660.38,
26.Oct.2016,653.98,
27.Oct.2016,653.62,
28.Oct.2016,651.65,
29.Oct.2016,,
30.Oct.2016,,
31.Oct.2016,,
01.Nov.2016,,
02.Nov.2016,651.18,
03.Nov.2016,653.55,
04.Nov.2016,650.72,
05.Nov.2016,,
06.Nov.2016,,
07.Nov.2016,654.87,
08.Nov.2016,654.66,
09.Nov.2016,651.32,
10.Nov.2016,650.95,
11.Nov.2016,656.36,
12.Nov.2016,,
13.Nov.2016,,
14.Nov.2016,663.23,
15.Nov.2016,668.29,
16.Nov.2016,668.93,
17.Nov.2016,675.77,
18.Nov.2016,674.38,
19.Nov.2016,,
20.Nov.2016,,
21.Nov.2016,678.28,
22.Nov.2016,675.39,
23.Nov.2016,674.37,
24.Nov.2016,679.24,
25.Nov.2016,677.56,
26.Nov.2016,,
27.Nov.2016,,
28.Nov.2016,678.03,
29.Nov.2016,675.91,
30.Nov.2016,675.48,
01.Dec.2016,673.54,
02.Dec.2016,674.76,
03.Dec.2016,,
04.Dec.2016,,
05.Dec.2016,672.58,
06.Dec.2016,668.90,
07.Dec.2016,662.05,
08.Dec.2016,,
09.Dec.2016,656.07,
10.Dec.2016,,
11.Dec.2016,,
12.Dec.2016,653.55,
13.Dec.2016,649.40,
14.Dec.2016,650.25,
15.Dec.2016,654.94,
